Value,lulcc,lu_T1,lu_T2,lc_T1,lc_T2,general_T1,general_T2,macro_T1,macro_T2
3831,Suspended Succession Shrubland to Extractive Impervious,Suspended Succession,Extractive,Shrubland,Other Impervious,"Pervious Developed, Other",Extractive,Developed,Developed
3832,Suspended Succession Shrubland to Solar Field Panel Arrays,Suspended Succession,Solar Field,Shrubland,Other Impervious,"Pervious Developed, Other","Impervious, Other",Developed,Developed
3836,Suspended Succession Shrubland to Suspended Succession Barren,Suspended Succession,Suspended Succession,Shrubland,Barren,"Pervious Developed, Other","Pervious Developed, Other",Developed,Developed
3837,Suspended Succession Shrubland to Suspended Succession Herbaceous,Suspended Succession,Suspended Succession,Shrubland,Low Vegetation,"Pervious Developed, Other","Pervious Developed, Other",Developed,Developed
3840,Suspended Succession Shrubland to Forest,Suspended Succession,Forest,Shrubland,Tree Canopy,"Pervious Developed, Other",Forest,Developed,Natural
3841,Suspended Succession Shrubland to Forested Other,Suspended Succession,Forested Other,Shrubland,Tree Canopy,"Pervious Developed, Other","Forested, Other",Developed,Natural
3842,Suspended Succession Shrubland to Natural Succession Barren,Suspended Succession,Natural Succession,Shrubland,Barren,"Pervious Developed, Other",Natural Succession,Developed,Natural
3843,Suspended Succession Shrubland to Natural Succession Herbaceous,Suspended Succession,Natural Succession,Shrubland,Low Vegetation,"Pervious Developed, Other",Natural Succession,Developed,Natural
3844,Suspended Succession Shrubland to Natural Succession Shrubland,Suspended Succession,Natural Succession,Shrubland,Shrubland,"Pervious Developed, Other",Natural Succession,Developed,Natural
3845,Suspended Succession Shrubland to Harvested Forest Barren,Suspended Succession,Harvested Forest,Shrubland,Barren,"Pervious Developed, Other",Harvested Forest,Developed,Natural
3846,Suspended Succession Shrubland to Harvested Forest Herbaceous,Suspended Succession,Harvested Forest,Shrubland,Low Vegetation,"Pervious Developed, Other",Harvested Forest,Developed,Natural
3880,Suspended Succession Shrubland to Cropland Barren,Suspended Succession,Cropland,Shrubland,Barren,"Pervious Developed, Other",Cropland,Developed,Agricultural
3881,Suspended Succession Shrubland to Cropland Herbaceous,Suspended Succession,Cropland,Shrubland,Low Vegetation,"Pervious Developed, Other",Cropland,Developed,Agricultural
3883,Suspended Succession Shrubland to Orchards and Vineyards Herbaceous,Suspended Succession,Orchards and Vineyards,Shrubland,Low Vegetation,"Pervious Developed, Other",Cropland,Developed,Agricultural
3884,Suspended Succession Shrubland to Orchards and Vineyards Shrubland,Suspended Succession,Orchards and Vineyards,Shrubland,Shrubland,"Pervious Developed, Other",Cropland,Developed,Agricultural
3885,Suspended Succession Shrubland to Pasture and Hay Barren,Suspended Succession,Pasture and Hay,Shrubland,Barren,"Pervious Developed, Other",Pasture and Hay,Developed,Agricultural
3886,Suspended Succession Shrubland to Pasture and Hay Herbaceous,Suspended Succession,Pasture and Hay,Shrubland,Low Vegetation,"Pervious Developed, Other",Pasture and Hay,Developed,Agricultural
4010,Forest to Tidal Waters,Forest,Tidal Waters,Tree Canopy,Water,Forest,Water,Natural,Water
4011,Forest to Lakes and Reservoirs,Forest,Lakes and Reservoirs,Tree Canopy,Water,Forest,Water,Natural,Water
4012,Forest to Riverine Ponds,Forest,Riverine Ponds,Tree Canopy,Water,Forest,Water,Natural,Water
4013,Forest to Terrene Ponds,Forest,Terrene Ponds,Tree Canopy,Water,Forest,Water,Natural,Water
4014,Forest to Streams and Rivers,Forest,Streams and Rivers,Tree Canopy,Water,Forest,Water,Natural,Water
4015,Forest to Bare Shore,Forest,Bare Shore,Tree Canopy,Barren,Forest,Natural Succession,Natural,Natural
4020,Forest to Roads,Forest,Roads,Tree Canopy,Impervious Roads,Forest,Impervious Roads,Natural,Developed
4021,Forest to Structures,Forest,Structures,Tree Canopy,Impervious Structures,Forest,Impervious Structures,Natural,Developed
4022,Forest to Other Impervious,Forest,Other Impervious,Tree Canopy,Other Impervious,Forest,"Impervious, Other",Natural,Developed
4023,Forest to Tree Canopy Over Roads,Forest,Tree Canopy Over Roads,Tree Canopy,Tree Canopy Over Impervious Roads,Forest,Tree Canopy over Impervious,Natural,Developed
4024,Forest to Tree Canopy Over Structures,Forest,Tree Canopy Over Structures,Tree Canopy,Tree Canopy Over Impervious Structures,Forest,Tree Canopy over Impervious,Natural,Developed
4025,Forest to Tree Canopy Over Other Impervious,Forest,Tree Canopy Over Other Impervious,Tree Canopy,Tree Canopy Over Other Impervious,Forest,Tree Canopy over Impervious,Natural,Developed
4026,Forest to Tree Canopy Over Turf Grass,Forest,Tree Canopy Over Turf,Tree Canopy,Tree Canopy,Forest,Tree Canopy over Turf Grass,Natural,Developed
4027,Forest to Turf Grass,Forest,Turf,Tree Canopy,Low Vegetation,Forest,Turf Grass,Natural,Developed
4028,Forest to Bare Developed,Forest,Developed,Tree Canopy,Barren,Forest,"Pervious Developed, Other",Natural,Developed
4030,Forest to Extractive Barren,Forest,Extractive,Tree Canopy,Barren,Forest,Extractive,Natural,Developed
4031,Forest to Extractive Impervious,Forest,Extractive,Tree Canopy,Other Impervious,Forest,Extractive,Natural,Developed
4032,Forest to Solar Field Panel Arrays,Forest,Solar Field,Tree Canopy,Other Impervious,Forest,"Impervious, Other",Natural,Developed
4033,Forest to Solar Field Barren,Forest,Solar Field,Tree Canopy,Barren,Forest,"Pervious Developed, Other",Natural,Developed
4034,Forest to Solar Field Herbaceous,Forest,Solar Field,Tree Canopy,Low Vegetation,Forest,"Pervious Developed, Other",Natural,Developed
4035,Forest to Solar Field Shrubland,Forest,Solar Field,Tree Canopy,Shrubland,Forest,"Pervious Developed, Other",Natural,Developed
4036,Forest to Suspended Succession Barren,Forest,Suspended Succession,Tree Canopy,Barren,Forest,"Pervious Developed, Other",Natural,Developed
4037,Forest to Suspended Succession Herbaceous,Forest,Suspended Succession,Tree Canopy,Low Vegetation,Forest,"Pervious Developed, Other",Natural,Developed
4038,Forest to Suspended Succession Shrubland,Forest,Suspended Succession,Tree Canopy,Shrubland,Forest,"Pervious Developed, Other",Natural,Developed
4041,Forest to Forested Other,Forest,Forested Other,Tree Canopy,Tree Canopy,Forest,"Forested, Other",Natural,Natural
4042,Forest to Natural Succession Barren,Forest,Natural Succession,Tree Canopy,Barren,Forest,Natural Succession,Natural,Natural
4043,Forest to Natural Succession Herbaceous,Forest,Natural Succession,Tree Canopy,Low Vegetation,Forest,Natural Succession,Natural,Natural
4044,Forest to Natural Succession Shrubland,Forest,Natural Succession,Tree Canopy,Shrubland,Forest,Natural Succession,Natural,Natural
4045,Forest to Harvested Forest Barren,Forest,Harvested Forest,Tree Canopy,Barren,Forest,Harvested Forest,Natural,Natural
4046,Forest to Harvested Forest Herbaceous,Forest,Harvested Forest,Tree Canopy,Low Vegetation,Forest,Harvested Forest,Natural,Natural
4080,Forest to Cropland Barren,Forest,Cropland,Tree Canopy,Barren,Forest,Cropland,Natural,Agricultural
4081,Forest to Cropland Herbaceous,Forest,Cropland,Tree Canopy,Low Vegetation,Forest,Cropland,Natural,Agricultural
4082,Forest to Orchards and Vineyards Barren,Forest,Orchards and Vineyards,Tree Canopy,Barren,Forest,Cropland,Natural,Agricultural
4083,Forest to Orchards and Vineyards Herbaceous,Forest,Orchards and Vineyards,Tree Canopy,Low Vegetation,Forest,Cropland,Natural,Agricultural
4084,Forest to Orchards and Vineyards Shrubland,Forest,Orchards and Vineyards,Tree Canopy,Shrubland,Forest,Cropland,Natural,Agricultural
4085,Forest to Pasture and Hay Barren,Forest,Pasture and Hay,Tree Canopy,Barren,Forest,Pasture and Hay,Natural,Agricultural
4086,Forest to Pasture and Hay Herbaceous,Forest,Pasture and Hay,Tree Canopy,Low Vegetation,Forest,Pasture and Hay,Natural,Agricultural
4110,Forested Other to Tidal Waters,Forested Other,Tidal Waters,Tree Canopy,Water,"Forested, Other",Water,Natural,Water
4111,Forested Other to Lakes and Reservoirs,Forested Other,Lakes and Reservoirs,Tree Canopy,Water,"Forested, Other",Water,Natural,Water
4112,Forested Other to Riverine Ponds,Forested Other,Riverine Ponds,Tree Canopy,Water,"Forested, Other",Water,Natural,Water
4113,Forested Other to Terrene Ponds,Forested Other,Terrene Ponds,Tree Canopy,Water,"Forested, Other",Water,Natural,Water
4114,Forested Other to Streams and Rivers,Forested Other,Streams and Rivers,Tree Canopy,Water,"Forested, Other",Water,Natural,Water
4115,Forested Other to Bare Shore,Forested Other,Bare Shore,Tree Canopy,Barren,"Forested, Other",Natural Succession,Natural,Natural
4120,Forested Other to Roads,Forested Other,Roads,Tree Canopy,Impervious Roads,"Forested, Other",Impervious Roads,Natural,Developed
4121,Forested Other to Structures,Forested Other,Structures,Tree Canopy,Impervious Structures,"Forested, Other",Impervious Structures,Natural,Developed
4122,Forested Other to Other Impervious,Forested Other,Other Impervious,Tree Canopy,Other Impervious,"Forested, Other","Impervious, Other",Natural,Developed
4123,Forested Other to Tree Canopy Over Roads,Forested Other,Tree Canopy Over Roads,Tree Canopy,Tree Canopy Over Impervious Roads,"Forested, Other",Tree Canopy over Impervious,Natural,Developed
4124,Forested Other to Tree Canopy Over Structures,Forested Other,Tree Canopy Over Structures,Tree Canopy,Tree Canopy Over Impervious Structures,"Forested, Other",Tree Canopy over Impervious,Natural,Developed
4125,Forested Other to Tree Canopy Over Other Impervious,Forested Other,Tree Canopy Over Other Impervious,Tree Canopy,Tree Canopy Over Other Impervious,"Forested, Other",Tree Canopy over Impervious,Natural,Developed
4126,Forested Other to Tree Canopy Over Turf Grass,Forested Other,Tree Canopy Over Turf,Tree Canopy,Tree Canopy,"Forested, Other",Tree Canopy over Turf Grass,Natural,Developed
4127,Forested Other to Turf Grass,Forested Other,Turf,Tree Canopy,Low Vegetation,"Forested, Other",Turf Grass,Natural,Developed
4128,Forested Other to Bare Developed,Forested Other,Developed,Tree Canopy,Barren,"Forested, Other","Pervious Developed, Other",Natural,Developed
4130,Forested Other to Extractive Barren,Forested Other,Extractive,Tree Canopy,Barren,"Forested, Other",Extractive,Natural,Developed
4131,Forested Other to Extractive Impervious,Forested Other,Extractive,Tree Canopy,Other Impervious,"Forested, Other",Extractive,Natural,Developed
4132,Forested Other to Solar Field Panel Arrays,Forested Other,Solar Field,Tree Canopy,Other Impervious,"Forested, Other","Impervious, Other",Natural,Developed
4133,Forested Other to Solar Field Barren,Forested Other,Solar Field,Tree Canopy,Barren,"Forested, Other","Pervious Developed, Other",Natural,Developed
4134,Forested Other to Solar Field Herbaceous,Forested Other,Solar Field,Tree Canopy,Low Vegetation,"Forested, Other","Pervious Developed, Other",Natural,Developed
4136,Forested Other to Suspended Succession Barren,Forested Other,Suspended Succession,Tree Canopy,Barren,"Forested, Other","Pervious Developed, Other",Natural,Developed
4137,Forested Other to Suspended Succession Herbaceous,Forested Other,Suspended Succession,Tree Canopy,Low Vegetation,"Forested, Other","Pervious Developed, Other",Natural,Developed
4138,Forested Other to Suspended Succession Shrubland,Forested Other,Suspended Succession,Tree Canopy,Shrubland,"Forested, Other","Pervious Developed, Other",Natural,Developed
4140,Forested Other to Forest,Forested Other,Forest,Tree Canopy,Tree Canopy,"Forested, Other",Forest,Natural,Natural
4142,Forested Other to Natural Succession Barren,Forested Other,Natural Succession,Tree Canopy,Barren,"Forested, Other",Natural Succession,Natural,Natural
4143,Forested Other to Natural Succession Herbaceous,Forested Other,Natural Succession,Tree Canopy,Low Vegetation,"Forested, Other",Natural Succession,Natural,Natural
4144,Forested Other to Natural Succession Shrubland,Forested Other,Natural Succession,Tree Canopy,Shrubland,"Forested, Other",Natural Succession,Natural,Natural
4145,Forested Other to Harvested Forest Barren,Forested Other,Harvested Forest,Tree Canopy,Barren,"Forested, Other",Harvested Forest,Natural,Natural
4146,Forested Other to Harvested Forest Herbaceous,Forested Other,Harvested Forest,Tree Canopy,Low Vegetation,"Forested, Other",Harvested Forest,Natural,Natural
4180,Forested Other to Cropland Barren,Forested Other,Cropland,Tree Canopy,Barren,"Forested, Other",Cropland,Natural,Agricultural
4181,Forested Other to Cropland Herbaceous,Forested Other,Cropland,Tree Canopy,Low Vegetation,"Forested, Other",Cropland,Natural,Agricultural
4182,Forested Other to Orchards and Vineyards Barren,Forested Other,Orchards and Vineyards,Tree Canopy,Barren,"Forested, Other",Cropland,Natural,Agricultural
4183,Forested Other to Orchards and Vineyards Herbaceous,Forested Other,Orchards and Vineyards,Tree Canopy,Low Vegetation,"Forested, Other",Cropland,Natural,Agricultural
4184,Forested Other to Orchards and Vineyards Shrubland,Forested Other,Orchards and Vineyards,Tree Canopy,Shrubland,"Forested, Other",Cropland,Natural,Agricultural
4185,Forested Other to Pasture and Hay Barren,Forested Other,Pasture and Hay,Tree Canopy,Barren,"Forested, Other",Pasture and Hay,Natural,Agricultural
4186,Forested Other to Pasture and Hay Herbaceous,Forested Other,Pasture and Hay,Tree Canopy,Low Vegetation,"Forested, Other",Pasture and Hay,Natural,Agricultural
4210,Natural Succession Barren to Tidal Waters,Natural Succession,Tidal Waters,Barren,Water,Natural Succession,Water,Natural,Water
4211,Natural Succession Barren to Lakes and Reservoirs,Natural Succession,Lakes and Reservoirs,Barren,Water,Natural Succession,Water,Natural,Water
4212,Natural Succession Barren to Riverine Ponds,Natural Succession,Riverine Ponds,Barren,Water,Natural Succession,Water,Natural,Water
4213,Natural Succession Barren to Terrene Ponds,Natural Succession,Terrene Ponds,Barren,Water,Natural Succession,Water,Natural,Water
4214,Natural Succession Barren to Streams and Rivers,Natural Succession,Streams and Rivers,Barren,Water,Natural Succession,Water,Natural,Water
4215,Natural Succession Barren to Bare Shore,Natural Succession,Bare Shore,Barren,Barren,Natural Succession,Natural Succession,Natural,Natural
4220,Natural Succession Barren to Roads,Natural Succession,Roads,Barren,Impervious Roads,Natural Succession,Impervious Roads,Natural,Developed
4221,Natural Succession Barren to Structures,Natural Succession,Structures,Barren,Impervious Structures,Natural Succession,Impervious Structures,Natural,Developed
4222,Natural Succession Barren to Other Impervious,Natural Succession,Other Impervious,Barren,Other Impervious,Natural Succession,"Impervious, Other",Natural,Developed
4226,Natural Succession Barren to Tree Canopy Over Turf Grass,Natural Succession,Tree Canopy Over Turf,Barren,Tree Canopy,Natural Succession,Tree Canopy over Turf Grass,Natural,Developed
4227,Natural Succession Barren to Turf Grass,Natural Succession,Turf,Barren,Low Vegetation,Natural Succession,Turf Grass,Natural,Developed
4228,Natural Succession Barren to Bare Developed,Natural Succession,Developed,Barren,Barren,Natural Succession,"Pervious Developed, Other",Natural,Developed
4230,Natural Succession Barren to Extractive Barren,Natural Succession,Extractive,Barren,Barren,Natural Succession,Extractive,Natural,Developed
4231,Natural Succession Barren to Extractive Impervious,Natural Succession,Extractive,Barren,Other Impervious,Natural Succession,Extractive,Natural,Developed
4232,Natural Succession Barren to Solar Field Panel Arrays,Natural Succession,Solar Field,Barren,Other Impervious,Natural Succession,"Impervious, Other",Natural,Developed
4234,Natural Succession Barren to Solar Field Herbaceous,Natural Succession,Solar Field,Barren,Low Vegetation,Natural Succession,"Pervious Developed, Other",Natural,Developed
4236,Natural Succession Barren to Suspended Succession Barren,Natural Succession,Suspended Succession,Barren,Barren,Natural Succession,"Pervious Developed, Other",Natural,Developed
4237,Natural Succession Barren to Suspended Succession Herbaceous,Natural Succession,Suspended Succession,Barren,Low Vegetation,Natural Succession,"Pervious Developed, Other",Natural,Developed
4238,Natural Succession Barren to Suspended Succession Shrubland,Natural Succession,Suspended Succession,Barren,Shrubland,Natural Succession,"Pervious Developed, Other",Natural,Developed
4240,Natural Succession Barren to Forest,Natural Succession,Forest,Barren,Tree Canopy,Natural Succession,Forest,Natural,Natural
4241,Natural Succession Barren to Forested Other,Natural Succession,Forested Other,Barren,Tree Canopy,Natural Succession,"Forested, Other",Natural,Natural
4243,Natural Succession Barren to Natural Succession Herbaceous,Natural Succession,Natural Succession,Barren,Low Vegetation,Natural Succession,Natural Succession,Natural,Natural
4244,Natural Succession Barren to Natural Succession Shrubland,Natural Succession,Natural Succession,Barren,Shrubland,Natural Succession,Natural Succession,Natural,Natural
4245,Natural Succession Barren to Harvested Forest Barren,Natural Succession,Harvested Forest,Barren,Barren,Natural Succession,Harvested Forest,Natural,Natural
4246,Natural Succession Barren to Harvested Forest Herbaceous,Natural Succession,Harvested Forest,Barren,Low Vegetation,Natural Succession,Harvested Forest,Natural,Natural
4280,Natural Succession Barren to Cropland Barren,Natural Succession,Cropland,Barren,Barren,Natural Succession,Cropland,Natural,Agricultural
4281,Natural Succession Barren to Cropland Herbaceous,Natural Succession,Cropland,Barren,Low Vegetation,Natural Succession,Cropland,Natural,Agricultural
4283,Natural Succession Barren to Orchards and Vineyards Herbaceous,Natural Succession,Orchards and Vineyards,Barren,Low Vegetation,Natural Succession,Cropland,Natural,Agricultural
4284,Natural Succession Barren to Orchards and Vineyards Shrubland,Natural Succession,Orchards and Vineyards,Barren,Shrubland,Natural Succession,Cropland,Natural,Agricultural
4285,Natural Succession Barren to Pasture and Hay Barren,Natural Succession,Pasture and Hay,Barren,Barren,Natural Succession,Pasture and Hay,Natural,Agricultural
4286,Natural Succession Barren to Pasture and Hay Herbaceous,Natural Succession,Pasture and Hay,Barren,Low Vegetation,Natural Succession,Pasture and Hay,Natural,Agricultural
4310,Natural Succession Herbaceous to Tidal Waters,Natural Succession,Tidal Waters,Low Vegetation,Water,Natural Succession,Water,Natural,Water
4311,Natural Succession Herbaceous to Lakes and Reservoirs,Natural Succession,Lakes and Reservoirs,Low Vegetation,Water,Natural Succession,Water,Natural,Water
4312,Natural Succession Herbaceous to Riverine Ponds,Natural Succession,Riverine Ponds,Low Vegetation,Water,Natural Succession,Water,Natural,Water
4313,Natural Succession Herbaceous to Terrene Ponds,Natural Succession,Terrene Ponds,Low Vegetation,Water,Natural Succession,Water,Natural,Water
4314,Natural Succession Herbaceous to Streams and Rivers,Natural Succession,Streams and Rivers,Low Vegetation,Water,Natural Succession,Water,Natural,Water
4315,Natural Succession Herbaceous to Bare Shore,Natural Succession,Bare Shore,Low Vegetation,Barren,Natural Succession,Natural Succession,Natural,Natural
4320,Natural Succession Herbaceous to Roads,Natural Succession,Roads,Low Vegetation,Impervious Roads,Natural Succession,Impervious Roads,Natural,Developed
4321,Natural Succession Herbaceous to Structures,Natural Succession,Structures,Low Vegetation,Impervious Structures,Natural Succession,Impervious Structures,Natural,Developed
4322,Natural Succession Herbaceous to Other Impervious,Natural Succession,Other Impervious,Low Vegetation,Other Impervious,Natural Succession,"Impervious, Other",Natural,Developed
4323,Natural Succession Herbaceous to Tree Canopy Over Roads,Natural Succession,Tree Canopy Over Roads,Low Vegetation,Tree Canopy Over Impervious Roads,Natural Succession,Tree Canopy over Impervious,Natural,Developed
4324,Natural Succession Herbaceous to Tree Canopy Over Structures,Natural Succession,Tree Canopy Over Structures,Low Vegetation,Tree Canopy Over Impervious Structures,Natural Succession,Tree Canopy over Impervious,Natural,Developed
4325,Natural Succession Herbaceous to Tree Canopy Over Other Impervious,Natural Succession,Tree Canopy Over Other Impervious,Low Vegetation,Tree Canopy Over Other Impervious,Natural Succession,Tree Canopy over Impervious,Natural,Developed
4326,Natural Succession Herbaceous to Tree Canopy Over Turf Grass,Natural Succession,Tree Canopy Over Turf,Low Vegetation,Tree Canopy,Natural Succession,Tree Canopy over Turf Grass,Natural,Developed
4327,Natural Succession Herbaceous to Turf Grass,Natural Succession,Turf,Low Vegetation,Low Vegetation,Natural Succession,Turf Grass,Natural,Developed
4328,Natural Succession Herbaceous to Bare Developed,Natural Succession,Developed,Low Vegetation,Barren,Natural Succession,"Pervious Developed, Other",Natural,Developed
4330,Natural Succession Herbaceous to Extractive Barren,Natural Succession,Extractive,Low Vegetation,Barren,Natural Succession,Extractive,Natural,Developed
4331,Natural Succession Herbaceous to Extractive Impervious,Natural Succession,Extractive,Low Vegetation,Other Impervious,Natural Succession,Extractive,Natural,Developed
4332,Natural Succession Herbaceous to Solar Field Panel Arrays,Natural Succession,Solar Field,Low Vegetation,Other Impervious,Natural Succession,"Impervious, Other",Natural,Developed
4333,Natural Succession Herbaceous to Solar Field Barren,Natural Succession,Solar Field,Low Vegetation,Barren,Natural Succession,"Pervious Developed, Other",Natural,Developed
4334,Natural Succession Herbaceous to Solar Field Herbaceous,Natural Succession,Solar Field,Low Vegetation,Low Vegetation,Natural Succession,"Pervious Developed, Other",Natural,Developed
4335,Natural Succession Herbaceous to Solar Field Shrubland,Natural Succession,Solar Field,Low Vegetation,Shrubland,Natural Succession,"Pervious Developed, Other",Natural,Developed
4336,Natural Succession Herbaceous to Suspended Succession Barren,Natural Succession,Suspended Succession,Low Vegetation,Barren,Natural Succession,"Pervious Developed, Other",Natural,Developed
4337,Natural Succession Herbaceous to Suspended Succession Herbaceous,Natural Succession,Suspended Succession,Low Vegetation,Low Vegetation,Natural Succession,"Pervious Developed, Other",Natural,Developed
4338,Natural Succession Herbaceous to Suspended Succession Shrubland,Natural Succession,Suspended Succession,Low Vegetation,Shrubland,Natural Succession,"Pervious Developed, Other",Natural,Developed
4340,Natural Succession Herbaceous to Forest,Natural Succession,Forest,Low Vegetation,Tree Canopy,Natural Succession,Forest,Natural,Natural
4341,Natural Succession Herbaceous to Forested Other,Natural Succession,Forested Other,Low Vegetation,Tree Canopy,Natural Succession,"Forested, Other",Natural,Natural
4342,Natural Succession Herbaceous to Natural Succession Barren,Natural Succession,Natural Succession,Low Vegetation,Barren,Natural Succession,Natural Succession,Natural,Natural
4344,Natural Succession Herbaceous to Natural Succession Shrubland,Natural Succession,Natural Succession,Low Vegetation,Shrubland,Natural Succession,Natural Succession,Natural,Natural
4345,Natural Succession Herbaceous to Harvested Forest Barren,Natural Succession,Harvested Forest,Low Vegetation,Barren,Natural Succession,Harvested Forest,Natural,Natural
4346,Natural Succession Herbaceous to Harvested Forest Herbaceous,Natural Succession,Harvested Forest,Low Vegetation,Low Vegetation,Natural Succession,Harvested Forest,Natural,Natural
4380,Natural Succession Herbaceous to Cropland Barren,Natural Succession,Cropland,Low Vegetation,Barren,Natural Succession,Cropland,Natural,Agricultural
4381,Natural Succession Herbaceous to Cropland Herbaceous,Natural Succession,Cropland,Low Vegetation,Low Vegetation,Natural Succession,Cropland,Natural,Agricultural
4382,Natural Succession Herbaceous to Orchards and Vineyards Barren,Natural Succession,Orchards and Vineyards,Low Vegetation,Barren,Natural Succession,Cropland,Natural,Agricultural
4383,Natural Succession Herbaceous to Orchards and Vineyards Herbaceous,Natural Succession,Orchards and Vineyards,Low Vegetation,Low Vegetation,Natural Succession,Cropland,Natural,Agricultural
4384,Natural Succession Herbaceous to Orchards and Vineyards Shrubland,Natural Succession,Orchards and Vineyards,Low Vegetation,Shrubland,Natural Succession,Cropland,Natural,Agricultural
4385,Natural Succession Herbaceous to Pasture and Hay Barren,Natural Succession,Pasture and Hay,Low Vegetation,Barren,Natural Succession,Pasture and Hay,Natural,Agricultural
4386,Natural Succession Herbaceous to Pasture and Hay Herbaceous,Natural Succession,Pasture and Hay,Low Vegetation,Low Vegetation,Natural Succession,Pasture and Hay,Natural,Agricultural
4410,Natural Succession Shrubland to Tidal Waters,Natural Succession,Tidal Waters,Shrubland,Water,Natural Succession,Water,Natural,Water
4411,Natural Succession Shrubland to Lakes and Reservoirs,Natural Succession,Lakes and Reservoirs,Shrubland,Water,Natural Succession,Water,Natural,Water
4412,Natural Succession Shrubland to Riverine Ponds,Natural Succession,Riverine Ponds,Shrubland,Water,Natural Succession,Water,Natural,Water
4413,Natural Succession Shrubland to Terrene Ponds,Natural Succession,Terrene Ponds,Shrubland,Water,Natural Succession,Water,Natural,Water
4414,Natural Succession Shrubland to Streams and Rivers,Natural Succession,Streams and Rivers,Shrubland,Water,Natural Succession,Water,Natural,Water
4415,Natural Succession Shrubland to Bare Shore,Natural Succession,Bare Shore,Shrubland,Barren,Natural Succession,Natural Succession,Natural,Natural
4420,Natural Succession Shrubland to Roads,Natural Succession,Roads,Shrubland,Impervious Roads,Natural Succession,Impervious Roads,Natural,Developed
4421,Natural Succession Shrubland to Structures,Natural Succession,Structures,Shrubland,Impervious Structures,Natural Succession,Impervious Structures,Natural,Developed
4422,Natural Succession Shrubland to Other Impervious,Natural Succession,Other Impervious,Shrubland,Other Impervious,Natural Succession,"Impervious, Other",Natural,Developed
4423,Natural Succession Shrubland to Tree Canopy Over Roads,Natural Succession,Tree Canopy Over Roads,Shrubland,Tree Canopy Over Impervious Roads,Natural Succession,Tree Canopy over Impervious,Natural,Developed
4424,Natural Succession Shrubland to Tree Canopy Over Structures,Natural Succession,Tree Canopy Over Structures,Shrubland,Tree Canopy Over Impervious Structures,Natural Succession,Tree Canopy over Impervious,Natural,Developed
4425,Natural Succession Shrubland to Tree Canopy Over Other Impervious,Natural Succession,Tree Canopy Over Other Impervious,Shrubland,Tree Canopy Over Other Impervious,Natural Succession,Tree Canopy over Impervious,Natural,Developed
4426,Natural Succession Shrubland to Tree Canopy Over Turf Grass,Natural Succession,Tree Canopy Over Turf,Shrubland,Tree Canopy,Natural Succession,Tree Canopy over Turf Grass,Natural,Developed
4427,Natural Succession Shrubland to Turf Grass,Natural Succession,Turf,Shrubland,Low Vegetation,Natural Succession,Turf Grass,Natural,Developed
4428,Natural Succession Shrubland to Bare Developed,Natural Succession,Developed,Shrubland,Barren,Natural Succession,"Pervious Developed, Other",Natural,Developed
4430,Natural Succession Shrubland to Extractive Barren,Natural Succession,Extractive,Shrubland,Barren,Natural Succession,Extractive,Natural,Developed
4431,Natural Succession Shrubland to Extractive Impervious,Natural Succession,Extractive,Shrubland,Other Impervious,Natural Succession,Extractive,Natural,Developed
4432,Natural Succession Shrubland to Solar Field Panel Arrays,Natural Succession,Solar Field,Shrubland,Other Impervious,Natural Succession,"Impervious, Other",Natural,Developed
4433,Natural Succession Shrubland to Solar Field Barren,Natural Succession,Solar Field,Shrubland,Barren,Natural Succession,"Pervious Developed, Other",Natural,Developed
4434,Natural Succession Shrubland to Solar Field Herbaceous,Natural Succession,Solar Field,Shrubland,Low Vegetation,Natural Succession,"Pervious Developed, Other",Natural,Developed
4435,Natural Succession Shrubland to Solar Field Shrubland,Natural Succession,Solar Field,Shrubland,Shrubland,Natural Succession,"Pervious Developed, Other",Natural,Developed
4436,Natural Succession Shrubland to Suspended Succession Barren,Natural Succession,Suspended Succession,Shrubland,Barren,Natural Succession,"Pervious Developed, Other",Natural,Developed
4437,Natural Succession Shrubland to Suspended Succession Herbaceous,Natural Succession,Suspended Succession,Shrubland,Low Vegetation,Natural Succession,"Pervious Developed, Other",Natural,Developed
4438,Natural Succession Shrubland to Suspended Succession Shrubland,Natural Succession,Suspended Succession,Shrubland,Shrubland,Natural Succession,"Pervious Developed, Other",Natural,Developed
4440,Natural Succession Shrubland to Forest,Natural Succession,Forest,Shrubland,Tree Canopy,Natural Succession,Forest,Natural,Natural
4441,Natural Succession Shrubland to Forested Other,Natural Succession,Forested Other,Shrubland,Tree Canopy,Natural Succession,"Forested, Other",Natural,Natural
4442,Natural Succession Shrubland to Natural Succession Barren,Natural Succession,Natural Succession,Shrubland,Barren,Natural Succession,Natural Succession,Natural,Natural
4443,Natural Succession Shrubland to Natural Succession Herbaceous,Natural Succession,Natural Succession,Shrubland,Low Vegetation,Natural Succession,Natural Succession,Natural,Natural
4445,Natural Succession Shrubland to Harvested Forest Barren,Natural Succession,Harvested Forest,Shrubland,Barren,Natural Succession,Harvested Forest,Natural,Natural
4446,Natural Succession Shrubland to Harvested Forest Herbaceous,Natural Succession,Harvested Forest,Shrubland,Low Vegetation,Natural Succession,Harvested Forest,Natural,Natural
4480,Natural Succession Shrubland to Cropland Barren,Natural Succession,Cropland,Shrubland,Barren,Natural Succession,Cropland,Natural,Agricultural
4481,Natural Succession Shrubland to Cropland Herbaceous,Natural Succession,Cropland,Shrubland,Low Vegetation,Natural Succession,Cropland,Natural,Agricultural
